SiO2_Liq,TiO2_Liq,Al2O3_Liq,FeOt_Liq,MgO_Liq,MnO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,Total_Liq,P_kbar
50.99713529,0.6612595145,17.93415956,5.911259297,10.4198469,0.1402671698,11.22137358,2.705152559,0.00954613529,100,10
50.44675872,0.4713713042,14.74288973,6.719548379,13.13822146,0.1303792969,12.83734616,1.504376503,0.009108451935,100,10
50.25518025,0.6707364695,18.11989567,6.10670517,10.51154169,0.120131905,11.41253097,2.803077783,0.0002000911807,100,10
50.9600607,0.6908141824,17.02005957,6.107197844,11.11309772,0.0901061977,11.6136877,2.402831939,0.002144147749,100,10
50.11880381,0.5412830812,16.13825483,6.515444496,12.12875052,0.1202851291,12.52970095,1.904514545,0.002962634942,100,10
56.65923373,1.125076019,15.0618285,7.510642611,6.081491993,0.1723089398,9.122237989,3.446178796,0.821001419,100,0
57.62402354,1.379730141,14.60890738,7.913158162,5.245003551,0.1623211931,8.42041189,3.662371918,0.9840722329,100,0
58.78158109,1.507742461,14.71067645,7.538712306,4.543602282,0.1426242869,7.436837816,4.074979625,1.263243684,100,0
48.750885,0.9912005664,16.89086679,9.942348538,8.222918985,0.1719429554,11.93486396,2.670172954,0.4248002427,100,8
48.92014063,0.6931190357,17.27774987,9.733802109,8.548468106,0.09040683074,11.65243596,2.641888498,0.4419889503,100,8
48.55256475,1.229050279,16.15033012,11.47790757,7.282884713,0.2539360081,11.68105637,2.81361097,0.5586592179,100,8
57.99666805,2.072053311,16.45147855,6.112036651,3.81091212,0.1978342357,7.746772178,4.133694294,1.478550604,100,2
48.69215292,1.167002012,15.69416499,12.77665996,7.293762575,0.3018108652,10.86519115,2.665995976,0.5432595573,100,8
58.14313746,2.509552825,14.45832903,7.094908603,4.327171331,0.3201487142,7.735206031,3.872766705,1.538779304,100,2
62.14987845,1.257795159,17.12292569,4.566113519,2.642426805,0.2113941444,5.126308001,4.132755523,2.790402706,100,2
61.70278959,1.669604895,15.76272944,6.616198279,2.343668983,0.2488852017,6.170278959,3.84735041,1.638494245,100,2
70.50819503,1.247294093,14.63766622,2.195649933,0.8761983301,0.206164313,2.381197815,3.844964437,4.102669828,100,2
63.2065776,1.12024666,16.1356629,5.621788284,2.117163412,0.1130524152,5.035971223,3.699897225,2.949640288,100,2
61.35674715,1.181143514,17.24678583,5.853454583,1.630605205,0.1463363646,4.755931849,4.055607819,3.773387687,100,2
68.9217759,1.173361522,15.43340381,2.188160677,0.9725158562,0.08456659619,2.600422833,4.291754757,4.334038055,100,2
60.30099654,1.240593858,14.94813911,8.26723612,2.471018914,0.1118568233,5.62334757,3.620093553,3.416717511,100,0
64.34979891,1.938743941,15.67495102,4.424048675,1.134371455,0.1649994844,3.176240074,4.341548933,4.795297515,100,5
48.94112879,1.215928666,15.09778093,14.08450704,7.548890465,0.3647785997,9.352517986,2.360928159,1.033539366,100,8
62.62918561,1.033484911,16.53575858,5.746176106,1.86027284,0.1446878876,4.619677553,3.730880529,3.699875982,100,2
62.51302355,1.166909773,15.940821,7.001458637,1.375286518,0.1354448844,4.52177537,3.948739321,3.396540946,100,2
61.59383033,1.316195373,15.62982005,7.095115681,2.303341902,0.2570694087,5.614395887,3.681233933,2.508997429,100,2
59.87660564,1.244057854,14.76686558,8.708404976,2.771315869,0.2225144129,5.886517649,3.742287853,2.781430161,100,0
60.42040773,1.267561001,16.5839231,6.950459491,2.249920777,0.2006971586,5.608957431,4.066758213,2.651315095,100,5
49.87785016,2.168159609,14.55618893,14.86156352,5.211726384,0.111970684,8.886400651,3.165716612,1.160423453,100,8
49.41626409,1.630434783,16.30434783,13.58695652,6.169484702,0.251610306,8.433977456,3.240740741,0.9661835749,100,8
44.06011942,5.795758699,12.55919292,20.58884085,3.736874614,0.3603047148,8.441424748,2.336833436,2.120650607,100,8
48.23183707,2.097476948,15.09778093,15.90840004,5.775661161,0.3141149053,8.339244098,3.060087142,1.17539771,100,8
48.63654864,2.665852666,14.24501425,16.48351648,4.751729752,0.3256003256,7.987382987,3.378103378,1.526251526,100,8
58.08285946,1.6754671,14.01299756,11.06823721,2.264419171,0.2335499594,5.757514216,3.838342811,3.06661251,100,8
57.41042345,1.995114007,13.64006515,12.01140065,2.107084691,0.3155537459,5.863192182,3.308224756,3.348941368,100,8
61.5291507,1.200322776,13.51623966,10.18761348,2.259431108,0.2521686504,5.033286262,3.661488804,2.360298568,100,8
