SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MgO_Cpx,MnO_Cpx,CaO_Cpx,Na2O_Cpx,Cr2O3_Cpx,Total_Cpx,P_kbar
50.5,0.71,4.2,6.08,15.4,0.007254659328,22,0.3,0.00667268579,99.20392735,2
51.7,1.08,2.7,6.18,16.6,0.001416299143,19.9,0.8,0.002375621566,98.96379192,1.5
52.2,0.42,2.6,6.71,17.3,0.009283423784,20.35,0.3,0.003448117611,99.89273154,1
50.2,0.75,4.37,6.97,14.8,0.008008318804,21.7,0.35,0.005721569628,99.15372989,2.5
50.6,0.89,5.11,7.52,15.1,0.003088211734,21.42,0.3,0.005541802635,100.94863,1
53.13,0.22,3.29,4.38,17.89,0.14,21.29,0.22,0.006232646355,100.5662326,7
51.88,0.38,3.98,5.14,16.36,0.15,21.8,0.24,0.005955295432,99.9359553,7
51.45,0.32,4.2,5.53,16.37,0.16,21.51,0.27,0.007319071811,99.81731907,7
50.68,0.46,5.33,7.96,16.5,0.25,19.15,0.28,0.001765141915,100.6117651,7
51.39,0.51,3.82,7.17,15.84,0.22,19.86,0.38,0.16,99.35,6
51.94,0.63,2.94,7.79,17.26,0.22,18.25,0.22,0.13,99.38,3
51.01,0.57,3.74,7.81,16.11,0.21,19.73,0.31,0.14,99.63,3
50.92,0.53,4.12,7.92,15.65,0.22,19.46,0.37,0.08,99.27,6
51.29,0.85,2.76,8,16.15,0.2,19.05,0.19,0.15,98.64,1
50.2,0.67,4.68,8.54,14.81,0.21,19.39,0.43,0.06,98.99,6
52.15,0.76,2,9.11,15.97,0.23,18.67,0.18,0.1,99.17,1
51.65,0.74,2.74,10.76,16.51,0.3,16.15,0.26,0.06,99.17,3
50,0.67,3.69,10.87,15.81,0.27,17.54,0.34,0.05,99.24,3
49.98,0.79,4.86,10.95,14.59,0.26,17.6,0.45,0.06,99.54,6
51.43,0.92,3.08,12.47,15.62,0.29,15.24,0.36,0.05,99.46,3
52.03,0.95,4.08,6.42,18.14,0.12,17.8,0.43,0.008848490775,99.97884849,9.3
49.55,1.88,6.66,8.32,15.66,0.16,16.72,0.71,0.007046750147,99.66704675,9.3
45.92,2.91,4.95,8.99,13.06,0.15,20.73,0.4,0.006611847185,97.11661185,0
46.9,1.96,7.17,9.08,14.23,0.11,18.07,0.55,0.0004280470385,98.07042805,9.3
50.06,1.74,5.64,9.39,15.57,0.09,16.26,0.55,0.00174265398,99.30174265,9.3
47.72,3.63,4.51,9.88,12.03,0.2,20.43,0.61,0.004710118596,99.01471012,4.3
46.28,3.19,4.24,10.1,12.21,0.16,20.73,0.48,0.001786883919,97.39178688,0
49.01,2.28,6.25,10.13,14.23,0.26,17.25,0.53,0.002245317972,99.94224532,9.3
44.04,4.35,5.19,10.15,11.35,0.19,20.75,0.5,0.003939790358,96.52393979,0
49.31,2.27,5.69,10.46,13.28,0.2,17.4,0.66,0.00007801192176,99.27007801,9.3
49.81,2.43,5.9,10.5,14.68,0.24,16,0.75,0.0007346579543,100.3107347,9.3
47.01,3.26,5.77,10.67,11.57,0.24,19.26,0.79,0.008929947693,98.57892995,9.3
48.04,2.22,5.83,11.04,13.83,0.22,15.27,0.67,0.0004546882146,97.12045469,9.3
49.94,0.95,4.57,12.11,14.17,0.21,15.77,0.42,0.007544003113,98.147544,9.3
48.65,1.85,5.12,12.21,12.4,0.31,17.41,0.7,0.005704669017,98.65570467,9.3
49.86,1.72,7.1,13.15,12.41,0.28,13.04,0.9,0.00007287500726,98.46007288,4.3
49.42,1.73,3.84,15.07,10.19,0.47,17.97,0.39,0.001269307614,99.08126931,3.8
48.84,1.15,4.4,15.14,9.59,0.36,18.43,0.77,0.008873335754,98.68887334,9.3
49.97,1.44,4.93,16.09,11.39,0.38,14.02,0.89,0.0009370405055,99.11093704,9.3
48.48,1.26,4.85,16.77,8.34,0.44,17.97,0.62,0.006859665327,98.73685967,4.3
49.79,1.67,4.78,20.34,9.22,0.52,10.35,0.85,0.009214303603,97.5292143,9.3
49.24,0.83,4.02,20.88,8.6,0.56,13.08,0.85,0.003045969138,98.06304597,9.3
50.22,0.58,2.06,23.17,11.61,0.57,11.39,0.35,0.001087307106,99.95108731,9.3
50.56,0.53,1.41,29.23,11.27,0.78,4.97,0.26,0.007035129519,99.01703513,4.3
52.1,0.55,3.73,6.2,15.18,0.36,21.56,0.35,0.007295942474,100.0372959,2
51.17,0.75,4.63,6.61,15.58,0.28,21.14,0.37,0.00232979903,100.5323298,2
50.39,0.74,5.55,6.68,14.51,0.2,22.29,0.39,0.007147143436,100.7571471,2
50.84,0.75,5.08,6.98,15.02,0.31,20.87,0.43,0.008881469884,100.2888815,2
50.59,0.71,4.5,7.68,15.45,0.3,20.52,0.39,0.009105291908,100.1491053,2
